experiment,metric,n,mean,std,ci95
full_model,alc,3,0.6657058306216145,0.0008463201505663222,0.0021025454865255546
full_model,final_miou,3,0.7561189286647706,0.005370653561984196,0.013342519847703137
full_model,final_f1,3,0.8413533644845032,0.00452883513474532,0.011251158164443258
no_agent,alc,3,0.6643487158635039,0.0023503589834074773,0.005839086625754305
no_agent,final_miou,3,0.7596543882320557,0.0046105245729342135,0.011454102356952362
no_agent,final_f1,3,0.8444529873675868,0.0039203983304368735,0.009739595364149865
fixed_lambda,alc,3,0.6659272679542957,0.0022526536098316048,0.005596353433021296
fixed_lambda,final_miou,3,0.7594839653916227,0.002568256714287729,0.006380418284086988
fixed_lambda,final_f1,3,0.8443289115761976,0.001949315505880868,0.0048427589913362405
baseline_entropy,alc,3,0.6656944195362141,0.0009669469363026674,0.002402223219277544
baseline_entropy,final_miou,3,0.7608975691795302,0.002502374268360536,0.0062167440064122914
baseline_entropy,final_f1,3,0.8454167408427486,0.002235383992491976,0.005553449862821339
baseline_random,alc,3,0.6525108089251028,0.006013457567834582,0.014939462399900308
baseline_random,final_miou,3,0.7512786110223689,0.009993711061649094,0.024827758233394656
baseline_random,final_f1,3,0.8372894198891974,0.008534874997443914,0.021203516059410236
